temps d'acces moyen : 1665.234375 nanosecondes
debit : 0.038433 o/ns
debit : 36.652592 Mo/s
temps d'acces moyen : 1274.609375 nanosecondes
debit : 0.050211 o/ns
debit : 47.885384 Mo/s
temps d'acces moyen : 1206.640625 nanosecondes
debit : 0.053040 o/ns
debit : 50.582714 Mo/s
temps d'acces moyen : 1109.375000 nanosecondes
debit : 0.057690 o/ns
debit : 55.017605 Mo/s
temps d'acces moyen : 1095.312500 nanosecondes
debit : 0.058431 o/ns
debit : 55.723965 Mo/s
temps d'acces moyen : 2528.515625 nanosecondes
debit : 0.025311 o/ns
debit : 24.138731 Mo/s
temps d'acces moyen : 1238.281250 nanosecondes
debit : 0.051685 o/ns
debit : 49.290222 Mo/s
temps d'acces moyen : 1557.031250 nanosecondes
debit : 0.041104 o/ns
debit : 39.199699 Mo/s
temps d'acces moyen : 969.921875 nanosecondes
debit : 0.065985 o/ns
debit : 62.927910 Mo/s
temps d'acces moyen : 1237.109375 nanosecondes
debit : 0.051734 o/ns
debit : 49.336910 Mo/s
