temps d'acces moyen : 282.714844 nanosecondes
debit : 0.226377 o/ns
debit : 215.889465 Mo/s
temps d'acces moyen : 435.791016 nanosecondes
debit : 0.146859 o/ns
debit : 140.056015 Mo/s
temps d'acces moyen : 146.240234 nanosecondes
debit : 0.437636 o/ns
debit : 417.362244 Mo/s
temps d'acces moyen : 182.055664 nanosecondes
debit : 0.351541 o/ns
debit : 335.255463 Mo/s
temps d'acces moyen : 440.356445 nanosecondes
debit : 0.145337 o/ns
debit : 138.603973 Mo/s
temps d'acces moyen : 141.967773 nanosecondes
debit : 0.450807 o/ns
debit : 429.922607 Mo/s
temps d'acces moyen : 241.015625 nanosecondes
debit : 0.265543 o/ns
debit : 253.241501 Mo/s
temps d'acces moyen : 226.440430 nanosecondes
debit : 0.282635 o/ns
debit : 269.541779 Mo/s
temps d'acces moyen : 170.922852 nanosecondes
debit : 0.374438 o/ns
debit : 357.091827 Mo/s
temps d'acces moyen : 450.708008 nanosecondes
debit : 0.141999 o/ns
debit : 135.420624 Mo/s
